title,company,location,link
DBA 5년 이상 대기업계열사 판교 근무,SK계열사 / 2016년 SK텔레콤과 네이버가 세운 Joint Venture로,성남 판교역,https://kr.indeed.com/취업?jk=1b25f7835c60e126
[TmaxAI/R&D] NLP(자연어음성) 부문 개발 신입 및 경력,티맥스소프트,성남 분당구,https://kr.indeed.com/취업?jk=636c8dbb41ed3493
[디지털컨텐츠 대기업] DBA,커리어라임즈,성남 분당구,https://kr.indeed.com/취업?jk=05ef3e331bf2799a
코딩에 빠진 수퍼 개발자 (펌웨어 개발),에바,성남 수정구,https://kr.indeed.com/취업?jk=f54bac6c78fd3240
딥러닝 AI 개발 연구원,베이리스,성남 수정구,https://kr.indeed.com/취업?jk=87309d3ff40ead61
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/취업?jk=78e99625e5de3c95
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/취업?jk=2b9e604e63e7e46d
"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",가치랩스,성남 분당구,https://kr.indeed.com/취업?jk=5ea9ea023c6ccc03
[신규 프로젝트][TL] MMORPG 클라이언트 프로그래머 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/취업?jk=bbc30e693758cadb
DB Engineer 모집,카카오,성남 판교역,https://kr.indeed.com/취업?jk=6100350a5169a606
네트워크 담당자 영입,카카오페이증권,성남 분당구,https://kr.indeed.com/취업?jk=63aa7316b1a84843
[TmaxAI/R&D] AI 로보어드바이저 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/취업?jk=8facf7b27840a26b
[ 국내 최고회사] Back-End 개발자,인코리아 프로페셔널,성남 분당구,https://kr.indeed.com/취업?jk=c11a2318c2156196
"백엔드, Python 외 경력 정규직, 계약직",트랜스버스,성남 분당구,https://kr.indeed.com/취업?jk=c02d60ec8ce427fc
침해사고 대응,NHN,성남 판교역,https://kr.indeed.com/취업?jk=06d133676285b02e
